subject,session,run_cond,spot,condition,component,window_start_ms,window_end_ms,selected_rank,channel_idx,latency_ms,amplitude_uv,channel,source_files,source_originals
03AZ,40,MI,M1_PA,after,p30,20.0,40.0,3,9,32.80000000000001,6.403760011792183,C3,session_40__set_3__cleaned_SOUND.mat; session_40__set_5__cleaned_SOUND.mat,02_03AZ_M1_PA_35MSO_MI.hdf5; 04_03AZ_M1_PA_35MSO_MI.hdf5
03AZ,40,MI,M1_PA,after,n45,40.0,55.0,1,48,45.0,-8.967927757501602,FCz,session_40__set_3__cleaned_SOUND.mat; session_40__set_5__cleaned_SOUND.mat,02_03AZ_M1_PA_35MSO_MI.hdf5; 04_03AZ_M1_PA_35MSO_MI.hdf5
03AZ,40,MI,M1_PA,after,n45,40.0,55.0,2,16,43.19999999999999,-8.04722882539034,Cz,session_40__set_3__cleaned_SOUND.mat; session_40__set_5__cleaned_SOUND.mat,02_03AZ_M1_PA_35MSO_MI.hdf5; 04_03AZ_M1_PA_35MSO_MI.hdf5
03AZ,40,MI,M1_PA,after,n45,40.0,55.0,3,17,42.60000000000002,-6.781201864778995,FC2,session_40__set_3__cleaned_SOUND.mat; session_40__set_5__cleaned_SOUND.mat,02_03AZ_M1_PA_35MSO_MI.hdf5; 04_03AZ_M1_PA_35MSO_MI.hdf5
03AZ,40,MI,M1_PA,after,p60,55.0,70.0,1,16,64.60000000000002,5.920275291800499,Cz,session_40__set_3__cleaned_SOUND.mat; session_40__set_5__cleaned_SOUND.mat,02_03AZ_M1_PA_35MSO_MI.hdf5; 04_03AZ_M1_PA_35MSO_MI.hdf5
03AZ,40,MI,M1_PA,after,p60,55.0,70.0,2,51,65.80000000000001,5.9000064339488745,C2,session_40__set_3__cleaned_SOUND.mat; session_40__set_5__cleaned_SOUND.mat,02_03AZ_M1_PA_35MSO_MI.hdf5; 04_03AZ_M1_PA_35MSO_MI.hdf5
03AZ,40,MI,M1_PA,after,p60,55.0,70.0,3,57,63.80000000000001,5.684395527243614,CP4,session_40__set_3__cleaned_SOUND.mat; session_40__set_5__cleaned_SOUND.mat,02_03AZ_M1_PA_35MSO_MI.hdf5; 04_03AZ_M1_PA_35MSO_MI.hdf5
03AZ,40,MI,M1_PA,after,n100,80.0,120.0,1,24,96.0,-5.755733541101217,F4,session_40__set_3__cleaned_SOUND.mat; session_40__set_5__cleaned_SOUND.mat,02_03AZ_M1_PA_35MSO_MI.hdf5; 04_03AZ_M1_PA_35MSO_MI.hdf5
03AZ,40,MI,M1_PA,after,n100,80.0,120.0,2,49,96.0,-5.335999393761158,F2,session_40__set_3__cleaned_SOUND.mat; session_40__set_5__cleaned_SOUND.mat,02_03AZ_M1_PA_35MSO_MI.hdf5; 04_03AZ_M1_PA_35MSO_MI.hdf5
03AZ,40,MI,M1_PA,after,n100,80.0,120.0,3,61,119.0,-5.317724558264017,AF8,session_40__set_3__cleaned_SOUND.mat; session_40__set_5__cleaned_SOUND.mat,02_03AZ_M1_PA_35MSO_MI.hdf5; 04_03AZ_M1_PA_35MSO_MI.hdf5
